x (miles USD),Z,P(X < x),P(X > x)
500000,-0.16779845709117486,0.43337091817623896,0.566629081823761
1000000,-0.15258707877316946,0.43936195765685493,0.5606380423431451
5000000,-0.030896052229126114,0.4876762191432842,0.5123237808567158
10000000,0.12121773095092805,0.5482407097959658,0.45175929020403416
20000000,0.42544529731103636,0.6647439545164627,0.33525604548353727
50000000,1.3381279963913615,0.9095726420737469,0.09042735792625312
100000000,2.8592658281919032,0.9978768860369438,0.0021231139630562
