k,P(X=k),P(X≤k)
0,0.0008168557987507065,0.0008168557987507075
1,0.008462920437507324,0.00927977623625804
2,0.03945550744513554,0.04873528368139357
3,0.10900620675532945,0.15774149043672298
4,0.19763512711270304,0.35537661754942607
5,0.24570853641038778,0.6010851539598141
6,0.21213574840236182,0.8132209023621757
7,0.12558873135789764,0.9388096337200731
8,0.04879291927756158,0.9876025529976347
9,0.011233605038878049,0.9988361580365126
10,0.0011638419634873633,1.0
