Año,Laspeyres,Paasche,Fisher
2017,100.0,100.0,100.0
2018,105.87239536264043,105.64815169023613,105.76021409339567
2019,103.40345209282262,102.89059897348443,103.14670679065097
2020,88.69267498995342,88.40083024661539,88.54663238037402
2021,108.47197721798916,108.05647889478283,108.2640287303729
2022,141.37565226331174,140.82581372087674,141.10046516684693
2023,139.95728710932076,139.41216897809267,139.68446212875668
